Release_ID,Market,Release_Date,Opening,Gross,Film_Title,Ticket_prices_2014,Population_2021,Popularity
gr2980663813,Thailand,"Apr 1, 1983",,896000,E.T. the Extra-Terrestrial,4.9,56794140.33,0.07730375
gr3081327109,Croatia,"Apr 11, 2002",,24312,E.T. the Extra-Terrestrial,5.89,4443180.667,0.032228642
gr3081327109,Norway,"Apr 12, 2002",,719048,E.T. the Extra-Terrestrial,18.14,4502651.167,2.896855705
gr2980663813,Egypt,"Apr 25, 1983",,104000,E.T. the Extra-Terrestrial,4.31,64647431.33,0.006933609
gr3081327109,Lebanon,"Apr 25, 2002",,35600,E.T. the Extra-Terrestrial,8,3885115.167,0.07330542
gr3081327109,Greece,"Apr 26, 2002",,57402,E.T. the Extra-Terrestrial,10.92,10151560,0.061747144
gr3081327109,Japan,"Apr 27, 2002",,5837357,E.T. the Extra-Terrestrial,17.67,121632403.2,0.848014966
gr3081327109,Belgium,"Apr 3, 2002",,627429,E.T. the Extra-Terrestrial,12.29,10386352.33,0.742426423
gr3081327109,France,"Apr 3, 2002",,2312913,E.T. the Extra-Terrestrial,12.29,58077819.17,0.489441601
gr3081327109,Philippines,"Apr 3, 2002",,369571,E.T. the Extra-Terrestrial,3.81,71099351.67,0.019804196
gr3081327109,Taiwan,"Apr 5, 2002",157753,827606,E.T. the Extra-Terrestrial,8.91,20379881,0.361825933
gr3081327109,South Korea,"Apr 5, 2002",611445,665271,E.T. the Extra-Terrestrial,8.41,43558961.5,0.128444961
gr3081327109,Thailand,"Apr 5, 2002",,262064,E.T. the Extra-Terrestrial,4.9,56794140.33,0.022609966
gr3081327109,Kenya,"Aug 2, 2002",,18432,E.T. the Extra-Terrestrial,6,29868283.17,0.003702657
gr3081327109,Russia,"Aug 30, 2002",90481,181605,E.T. the Extra-Terrestrial,8.3,141925333,0.010620525
gr2980663813,Switzerland,"Dec 1, 1982",,5796000,E.T. the Extra-Terrestrial,20.21,7115768.333,16.46163204
gr2980663813,France,"Dec 1, 1982",,27588000,E.T. the Extra-Terrestrial,12.29,58077819.17,5.837969209
gr2980663813,Sweden,"Dec 10, 1982",,5120000,E.T. the Extra-Terrestrial,16.83,8884951.833,9.698375592
gr2980663813,United Kingdom,"Dec 10, 1982",,29614000,E.T. the Extra-Terrestrial,13.3,59864357.17,6.579310606
gr2980663813,Germany,"Dec 10, 1982",,23723000,E.T. the Extra-Terrestrial,12.29,80321215.83,3.629871224
gr2980663813,Israel,"Dec 11, 1982",,1630000,E.T. the Extra-Terrestrial,10.8,5485158.667,3.209387562
gr2980663813,Venezuela,"Dec 15, 1982",,3155000,E.T. the Extra-Terrestrial,12,21213332.5,1.784726657
gr2980663813,Mexico,"Dec 16, 1982",,5219000,E.T. the Extra-Terrestrial,4.5,90853938.33,0.258497325
gr2980663813,Peru,"Dec 16, 1982",,893000,E.T. the Extra-Terrestrial,5.33,23589718.17,0.201769685
gr2980663813,Finland,"Dec 17, 1982",,2134000,E.T. the Extra-Terrestrial,16.39,5081881.167,6.882541888
gr2980663813,Portugal,"Dec 17, 1982",,1359000,E.T. the Extra-Terrestrial,8.19,9897924.5,1.124499384
gr2980663813,Netherlands,"Dec 2, 1982",,5091000,E.T. the Extra-Terrestrial,12.29,15309963.83,4.08677582
