Rank,Genre,Film_count,Gross,Tickets_sold,Market_share,Highest_Grossing_Film
1,Adventure,"1,098",64457230429,9208620860,27.17%,Star Wars Ep. VII: The Force Awakens
2,Action,"1,095",49016524457,6882441238,20.66%,Avatar
3,Drama,"5,467",35570963194,5432856084,14.99%,Titanic
4,Comedy,"2,413",33675759373,5161657162,14.20%,The Hangover Part II
5,Thriller/Suspense,"1,184",19801366812,2880232916,8.35%,Joker
6,Horror,713,13329852816,1907472943,5.62%,It Chapter One
7,Romantic Comedy,629,10480064136,1692534985,4.42%,Mei Ren Yu
8,Musical,201,4292907649,568435841,1.81%,Frozen
9,Documentary,"2,412",2518286299,376013543,1.06%,This Is It
10,Black Comedy,213,2185433323,319798811,0.92%,The Wolf of Wall Street
11,Western,94,1292630343,187669455,0.54%,Django Unchained
