Release_ID,Market,Release_Date,Opening,Gross,Film_Title,Ticket_prices_2014,Population_2021,Popularity
gr123163141,Croatia,"Apr 10, 1997",,95020,Star Wars: Episode IV - A New Hope,5.89,4443180.667,0.125961072
gr123163141,Taiwan,"Apr 12, 1997",,975132,Star Wars: Episode IV - A New Hope,8.91,20379881,0.426323692
gr123163141,South Korea,"Apr 12, 1997",,1297610,Star Wars: Episode IV - A New Hope,8.41,43558961.5,0.250531687
gr123163141,Egypt,"Apr 14, 1997",,84540,Star Wars: Episode IV - A New Hope,4.31,64647431.33,0.005636224
gr123163141,Philippines,"Apr 16, 1997",,1000323,Star Wars: Episode IV - A New Hope,3.81,71099351.67,0.053604295
gr123163141,Netherlands,"Apr 3, 1997",,46514,Star Wars: Episode IV - A New Hope,2.31,15309963.83,0.007018132
gr123163141,Denmark,"Apr 4, 1997",,1193862,Star Wars: Episode IV - A New Hope,16.47,5314090.167,3.700145561
gr123163141,Dominican Republic,"Apr 9, 1997",,230000,Star Wars: Episode IV - A New Hope,5.12,7741915.5,0.152107059
gr123163141,Jamaica,"Apr 9, 1997",,23327,Star Wars: Episode IV - A New Hope,9.29,2480787,0.087354469
gr123163141,Puerto Rico,"Feb 13, 1997",,775021,Star Wars: Episode IV - A New Hope,7,3205867.667,1.69225544
gr123163141,Canada,"Jan 31, 1997",35906661,445521722,Star Wars: Episode IV - A New Hope,16.47,268805839.8,8.471196303
gr123163141,Indonesia,"Jun 17, 1997",,503367,Star Wars: Episode IV - A New Hope,3.87,195087678.2,0.009985409
gr123163141,France,"Mar 12, 1997",,11371635,Star Wars: Episode IV - A New Hope,12.29,58077819.17,2.406381578
gr123163141,Thailand,"Mar 14, 1997",,1225361,Star Wars: Episode IV - A New Hope,4.9,56794140.33,0.105719866
gr123163141,Belgium,"Mar 19, 1997",,1409731,Star Wars: Episode IV - A New Hope,12.29,10386352.33,1.668111521
gr123163141,Australia,"Mar 20, 1997",,8871494,Star Wars: Episode IV - A New Hope,15.19,18498005,7.285001483
gr123163141,Germany,"Mar 20, 1997",,14605904,Star Wars: Episode IV - A New Hope,12.29,80321215.83,2.234858602
gr123163141,Netherlands,"Mar 20, 1997",,1318822,Star Wars: Episode IV - A New Hope,12.29,15309963.83,1.058678032
gr123163141,South Africa,"Mar 20, 1997",,443626,Star Wars: Episode IV - A New Hope,4.63,40486736,0.050732378
gr123163141,United Kingdom,"Mar 21, 1997",,26453539,Star Wars: Episode IV - A New Hope,13.3,59864357.17,5.877154376
gr123163141,Norway,"Mar 21, 1997",,1293915,Star Wars: Episode IV - A New Hope,18.14,4502651.167,5.212843996
gr123163141,Switzerland,"Mar 21, 1997",,1535838,Star Wars: Episode IV - A New Hope,20.21,7115768.333,4.362042794
gr123163141,Sweden,"Mar 21, 1997",,2050843,Star Wars: Episode IV - A New Hope,16.83,8884951.833,3.884735487
gr123163141,Finland,"Mar 21, 1997",,620183,Star Wars: Episode IV - A New Hope,16.39,5081881.167,2.000204066
gr123163141,Austria,"Mar 21, 1997",,1069482,Star Wars: Episode IV - A New Hope,12.29,8055927.167,1.631585478
gr123163141,Spain,"Mar 21, 1997",,4967598,Star Wars: Episode IV - A New Hope,10.92,40882502.83,1.326879873
gr123163141,Italy,"Mar 21, 1997",,3361807,Star Wars: Episode IV - A New Hope,10.92,57232631.17,0.641433596
gr123163141,Israel,"Mar 21, 1997",,312233,Star Wars: Episode IV - A New Hope,10.8,5485158.667,0.614770986
gr123163141,Portugal,"Mar 21, 1997",,359311,Star Wars: Episode IV - A New Hope,8.19,9897924.5,0.297310521
gr123163141,Poland,"Mar 21, 1997",,1327264,Star Wars: Episode IV - A New Hope,7.18,36812042.67,0.258876032
gr123163141,Uruguay,"Mar 21, 1997",,89564,Star Wars: Episode IV - A New Hope,8.89,3164587.333,0.251604357
gr123163141,Brazil,"Mar 21, 1997",,2824307,Star Wars: Episode IV - A New Hope,7.65,157978981.5,0.136764703
gr123163141,Mexico,"Mar 21, 1997",,2391527,Star Wars: Episode IV - A New Hope,4.5,90853938.33,0.118452449
gr123163141,Colombia,"Mar 21, 1997",,516272,Star Wars: Episode IV - A New Hope,4.86,36203117.5,0.069305687
gr123163141,Iceland,"Mar 21, 1997",,1681,Star Wars: Episode IV - A New Hope,10.81,271622.8333,0.066900156
gr123163141,Paraguay,"Mar 21, 1997",,24793,Star Wars: Episode IV - A New Hope,6,4763927,0.031225919
gr123163141,Venezuela,"Mar 26, 1997",,272640,Star Wars: Episode IV - A New Hope,12,21213332.5,0.154227536
gr123163141,Peru,"Mar 26, 1997",,480798,Star Wars: Episode IV - A New Hope,5.33,23589718.17,0.108634335
gr123163141,New Zealand,"Mar 27, 1997",,1641934,Star Wars: Episode IV - A New Hope,13.38,3735745.333,5.880774774
gr123163141,Hong Kong,"Mar 27, 1997",,541864,Star Wars: Episode IV - A New Hope,9.66,5919207.167,0.884308674
gr123163141,Chile,"Mar 27, 1997",,1050359,Star Wars: Episode IV - A New Hope,7.09,14333032.5,0.519572206
gr123163141,Hungary,"Mar 27, 1997",,591759,Star Wars: Episode IV - A New Hope,6.58,10217626,0.381084042
gr123163141,Argentina,"Mar 27, 1997",,1342322,Star Wars: Episode IV - A New Hope,8,34559675.5,0.310725603
gr123163141,Slovenia,"Mar 27, 1997",,43273,Star Wars: Episode IV - A New Hope,7.51,1936968.167,0.167777786
gr123163141,Bolivia,"Mar 27, 1997",,79905,Star Wars: Episode IV - A New Hope,5,7844776,0.050928796
gr123163141,Czech Republic,"Mar 27, 1997",,69463,Star Wars: Episode IV - A New Hope,7.48,10340416.5,0.050247806
gr123163141,Serbia,"Mar 27, 1997",,47728,Star Wars: Episode IV - A New Hope,4.17,10393841,0.019148432
gr123163141,Greece,"Mar 28, 1997",,363897,Star Wars: Episode IV - A New Hope,10.92,10151560,0.391442817
gr123163141,Lebanon,"Mar 28, 1997",,50680,Star Wars: Episode IV - A New Hope,8,3885115.167,0.104357267
gr123163141,Bulgaria,"Mar 28, 1997",,55305,Star Wars: Episode IV - A New Hope,6.86,8099868.333,0.046839317
gr123163141,Turkey,"Mar 28, 1997",,334792,Star Wars: Episode IV - A New Hope,6.27,58780047.17,0.035711877
gr123163141,Romania,"Mar 28, 1997",,114387,Star Wars: Episode IV - A New Hope,6.07,21416780.67,0.032419863
gr123163141,Latvia,"May 16, 1997",,23461,Star Wars: Episode IV - A New Hope,7.79,2325512.333,0.078589646
gr123163141,Lithuania,"May 16, 1997",,13324,Star Wars: Episode IV - A New Hope,7.12,3268554.167,0.029024111
gr123163141,Malaysia,"May 21, 1997",,250594,Star Wars: Episode IV - A New Hope,3.66,21066721.83,0.043536628
gr22499845,United States,"May 25, 1977",1554475,445521722,Star Wars: Episode IV - A New Hope,16.47,268805839.8,18.8263608
gr123163141,Singapore,"May 29, 1997",,466734,Star Wars: Episode IV - A New Hope,8.68,3751220.333,1.079982182
gr123163141,Estonia,"May 30, 1997",,21791,Star Wars: Episode IV - A New Hope,7.85,1409605.833,0.121352612
gr123163141,Japan,"May 31, 1997",,15216513,Star Wars: Episode IV - A New Hope,17.67,121632403.2,2.21056049
gr123163141,India,"Sep 19, 1997",,378852,Star Wars: Episode IV - A New Hope,3.22,966380256.3,0.001262343
gr123163141,Belize,"Mar 27, 1997",,524187,Star Wars: Episode IV - A New Hope,12.6,775021,0.053027362
gr123163141,Costa Rica,"Mar 27, 1997",,524187,Star Wars: Episode IV - A New Hope,12.6,775021,0.053027362
gr123163141,El Salvador,"Mar 27, 1997",,524187,Star Wars: Episode IV - A New Hope,12.6,775021,0.053027362
gr123163141,Guatemala,"Mar 27, 1997",,524187,Star Wars: Episode IV - A New Hope,12.6,775021,0.053027362
gr123163141,Honduras,"Mar 27, 1997",,524187,Star Wars: Episode IV - A New Hope,12.6,775021,0.053027362
