Release_ID,Market,Release_Date,Opening,Gross,Film_Title,Ticket_prices_2014,Population_2021,Popularity
gr4195045893,China,"Apr 1, 1998",,43928666,Titanic,12.23,1183876577,0.453803712
gr4195045893,Romania,"Apr 10, 1998",,1917855,Titanic,6.07,21416780.67,0.543563481
gr4211823109,China,"Apr 10, 2012",,145000000,Titanic,12.23,1183876577,1.497917972
gr4211823109,Argentina,"Apr 12, 2012",783513,2822880,Titanic,8,34559675.5,0.65345058
gr4211823109,Chile,"Apr 12, 2012",255758,820868,Titanic,7.09,14333032.5,0.406051833
gr4211823109,Peru,"Apr 12, 2012",278438,979349,Titanic,5.33,23589718.17,0.221279887
gr4211823109,Bolivia,"Apr 12, 2012",87153,313214,Titanic,5,7844776,0.199632214
gr4211823109,Norway,"Apr 13, 2012",838019,2130676,Titanic,18.14,4502651.167,8.583934489
gr4211823109,Venezuela,"Apr 13, 2012",138344,1371228,Titanic,12,21213332.5,0.775678975
gr4211823109,Uruguay,"Apr 13, 2012",52706,225706,Titanic,8.89,3164587.333,0.634056238
gr4211823109,Mexico,"Apr 13, 2012",1893376,5304047,Titanic,4.5,90853938.33,0.262709707
gr4211823109,Brazil,"Apr 13, 2012",1453193,5090487,Titanic,7.65,157978981.5,0.246502574
gr4211823109,Poland,"Apr 13, 2012",345325,1072064,Titanic,7.18,36812042.67,0.209100581
gr4211823109,Colombia,"Apr 13, 2012",434473,1288506,Titanic,4.86,36203117.5,0.172972373
gr4195045893,Ecuador,"Apr 30, 1998",,1201929,Titanic,5,11604131.67,0.517888384
gr4211823109,Sweden,"Apr 4, 2012",349558,1210838,Titanic,16.83,8884951.833,2.293586271
gr4211823109,France,"Apr 4, 2012",3297316,10589600,Titanic,12.29,58077819.17,2.240893096
gr4211823109,Belgium,"Apr 4, 2012",550769,1798289,Titanic,12.29,10386352.33,2.127885816
gr4211823109,Iceland,"Apr 4, 2012",7136,36734,Titanic,10.81,271622.8333,1.461933576
gr4211823109,Spain,"Apr 4, 2012",1117384,4740506,Titanic,10.92,40882502.83,1.266222025
